filename,speaker,title,date,url,,
dcrau001020001,"Bethea, Joseph B.","""God's Demand and Our Desire""",8/30/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001020001.mp3,,
dcrau001020002,"Bethea, Joseph B.","""God's Demand and Our Desire""",8/30/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001020002.mp3,,
dcrau001021001,"Young, Robert T.","""First Things First""",9/6/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001021001.mp3,,
dcrau001021002,"Young, Robert T.","""First Things First""",9/6/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001021002.mp3,,
dcrau001022001,"Young, Robert T.","""A Story of Logs and Specks""",9/13/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001022001.mp3,,
dcrau001022002,"Young, Robert T.","""A Story of Logs and Specks""",9/13/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001022002.mp3,,
dcrau001024001,"Kammerer, Charlene P.","""God's Generosity - Our Jealousy""",9/20/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001024001.mp3,,
dcrau001024002,"Kammerer, Charlene P.","""God's Generosity - Our Jealousy""",9/20/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001024002.mp3,,
dcrau001025001,"Jones, Jameson","""New Story Time""",9/27/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001025001.mp3,,
dcrau001025002,"Jones, Jameson","""New Story Time""",9/27/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001025002.mp3,,
dcrau001028001,"Harrison, Russell E.","""When You Pray, SayÄ""",10/4/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001028001.mp3,,
dcrau001028002,"Harrison, Russell E.","""When You Pray, SayÄ""",10/4/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001028002.mp3,,
dcrau001029001,"Kammerer, Charlene P.","""Letting Go""",10/11/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001029001.mp3,,
dcrau001029002,"Kammerer, Charlene P.","""Letting Go""",10/11/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001029002.mp3,,
dcrau001030001,"Young, Robert T.","""When Doctors Play God""",10/18/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001030001.mp3,,
dcrau001030002,"Young, Robert T.","""When Doctors Play God""",10/18/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001030002.mp3,,
dcrau001031001,"Barber, James David","""Never Say Die""",10/25/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001031001.mp3,,
dcrau001031002,"Barber, James David","""Never Say Die""",10/25/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001031002.mp3,,
dcrau001032001,"Young, Robert T.","""Intimations of Mortality""",11/1/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001032001.mp3,,
dcrau001032002,"Young, Robert T.","""Intimations of Mortality""",11/1/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001032002.mp3,,
dcrau001033001,"Young, Robert T.","""One Step at a Time""",11/8/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001033001.mp3,,
dcrau001033002,"Young, Robert T.","""One Step at a Time""",11/8/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001033002.mp3,,
dcrau001035001,"Riggle-Huie, Janice","""Circuses, Silence, and Imagination""",11/15/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001035001.mp3,,
dcrau001035002,"Riggle-Huie, Janice","""Circuses, Silence, and Imagination""",11/15/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001035002.mp3,,
dcrau001036001,"Fauntroy, Walter","""The Social Action Mission of the Church""",11/22/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001036001.mp3,,
dcrau001036002,"Fauntroy, Walter","""The Social Action Mission of the Church""",11/22/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001036002.mp3,,
dcrau001038001,"Cannon, William R. ",Sermon Untitled,11/29/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001038001.mp3,,
dcrau001038002,"Cannon, William R. ",Sermon Untitled,11/29/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001038002.mp3,,
dcrau001039001,"Quick, William K.","""The Founder's Faith"" Founders' Day",12/13/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001039001.mp3,,
dcrau001039002,"Quick, William K.","""The Founder's Faith"" Founders' Day",12/13/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001039002.mp3,,
dcrau001040001,"Young, Robert T.","""Let's Join the Angels!""",12/20/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001040001.mp3,,
dcrau001040002,"Young, Robert T.","""Let's Join the Angels!""",12/20/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001040002.mp3,,
dcrau001041001,[unknown],Christmas Eve Service,12/24/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001041001.mp3,,
dcrau001041002,[unknown],Christmas Eve Service,12/24/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001041002.mp3,,
dcrau001042001,"Ritchie, B. Maurice ","""Unwrapping the Gift""",12/27/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001042001.mp3,,
dcrau001042002,"Ritchie, B. Maurice ","""Unwrapping the Gift""",12/27/81,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001042002.mp3,,
dcrau001044001,"Young, Robert T.","""Jesus and Those Who Were Afraid""",1/17/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001044001.mp3,,
dcrau001044002,"Young, Robert T.","""Jesus and Those Who Were Afraid""",1/17/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001044002.mp3,,
dcrau001045001,[unknown],Peter Marshall's Organ Recital,1/24/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001045001.mp3,,
dcrau001045002,[unknown],Peter Marshall's Organ Recital,1/24/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001045002.mp3,,
dcrau001047001,"Young, Robert T.","""There Is a Balm We Need""",1/31/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001047001.mp3,,
dcrau001047002,"Young, Robert T.","""There Is a Balm We Need""",1/31/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001047002.mp3,,
